iso3_country,Country Name,subsector,start_time,end_time,gas,emissions_quantity,Emssion_qty_avg_replaced,GDP per capita (current US$),Population,Unnamed: 10,Unnamed: 11,Unnamed: 12,Total_GDP,Emissions_Intensity,Emissions_per_capita,Avg_Intensity_2015_2024,log_GDP_pc,log_Emissions_Intensity,log_Emissions_per_capita
ABW,Aruba,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,27458.220153750623,107906,,,,2962906703.9106145,0.9147326330461074,0.2327667601430875,6.221695036801032,10.220420861261761,-0.08912346072781077,-1.4577183557802045
ABW,Aruba,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,27441.55021446005,108727,,,,2983637430.167598,0.9152883063714412,0.23100913314999955,6.221695036801032,10.219813574940122,-0.08851617440617099,-1.465298031363159
ABW,Aruba,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,28440.04168814911,108735,,,,3092427932.9608936,0.883153769442826,0.230992137030395,6.221695036801032,10.255553349744131,-0.12425594921017936,-1.4653716074362213
ABW,Aruba,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,30082.158422679753,108908,,,,3276187709.4972067,0.8349444101412505,0.23062520678003454,6.221695036801032,10.311687531562562,-0.1803901310286111,-1.4669613671469475
ABW,Aruba,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,30082.158422679753,109203,,,,3285061946.231897,0.8349444101412505,0.23000219792496543,6.221695036801032,10.311687531562562,-0.1803901310286111,-1.4696664134743214
ABW,Aruba,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,22759.807175072245,108587,,,,2471419181.7195697,1.1035651500382395,0.23130697063184358,6.221695036801032,10.032751416107377,0.09854598442657415,-1.4640095730097389
ABW,Aruba,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,26749.329609311764,107700,,,,2880902798.922877,0.9389741868991174,0.23321197790157847,6.221695036801032,10.194264690675972,-0.06296729014202118,-1.455807462181734
ABW,Aruba,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,30975.9989121779,107310,,,,3324034443.2658105,0.8108513333568569,0.23405954729288975,6.221695036801032,10.34096795495808,-0.20967055442412788,-1.4521797199599802
ABW,Aruba,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,35718.75311916344,107359,,,,3834729616.120268,0.7031860808860244,0.23395271956706004,6.221695036801032,10.483431127302879,-0.3521337267689267,-1.452636236744705
ABW,Aruba,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,39498.59412937967,107995,,,,4265650673.0023575,0.6358942786097198,0.23257493420991712,6.221695036801032,10.584020358594541,-0.45272295806058954,-1.4585428077744336
